time,elapsed_time,OD_135_V,OD_Ref_V,OD_90_V,temperature_C,peltier_duty,peltier_forward,ring_light_R,ring_light_G,ring_light_B,pump_inflow_time_s,pump_outflow_time_s,ekf_od_est,ekf_growth_rate,ekf_doubling_time_s,ekf_od_std,ekf_growth_rate_std,ekf_doubling_time_std_s
2026-06-29 00:32:12,301292.11437916756,0.059000000000000004,0.7334196428571429,0.045062500000000005,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139770.0,153747.0,0.059000000000000004,1.0002186679703455,31702.303584966972,0.05222329678670936,0.0003641375033355872,52786.586612819825
2026-06-29 00:32:22,301302.1144554615,0.058803571428571434,0.7251607142857143,0.04441071428571429,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139770.0,153747.0,0.058803571428571434,1.0002186679703455,31702.322480879506,0.05222329678670936,0.00036414436880923305,52787.61331840017
2026-06-29 00:32:32,301312.1145219803,0.05825892857142857,0.7154375000000001,0.046026785714285715,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139800.0,153780.0,0.058550892236657874,1.0002186672114912,31702.401497974137,0.03780077750706275,0.00036415121958035054,52788.92121968321
2026-06-29 00:32:42,301322.114597559,0.05850892857142857,0.7508482142857142,0.04451785714285715,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139800.0,153780.0,0.05854602069491103,1.0002186670649944,31702.451456700335,0.03111557952549457,0.0003641580412785175,52790.02868280679
2026-06-29 00:32:52,301332.11466264725,0.05886607142857143,0.7015714285714286,0.046232142857142854,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139800.0,153780.0,0.05886607142857143,1.0002186670649944,31702.41819975659,0.05222329678670936,0.00036416490636496875,52790.96849782212
2026-06-29 00:33:02,301342.11473202705,0.059258928571428574,0.7095178571428572,0.04575892857142857,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139800.0,153780.0,0.059258928571428574,1.0002186670649944,31702.43180486994,0.05222329678670936,0.0003641717713220047,52791.98632830773
2026-06-29 00:33:12,301352.11477541924,0.058669642857142865,0.7188035714285714,0.045276785714285714,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139800.0,153780.0,0.058669642857142865,1.0002186670649944,31702.349418350215,0.05222329678670936,0.0003641786361496326,52792.84428928604
2026-06-29 00:33:22,301362.11484360695,0.058857142857142865,0.7110714285714286,0.0455625,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139800.0,153780.0,0.058857142857142865,1.0002186670649944,31702.42802567179,0.05222329678670936,0.0003641855008478598,52793.970328955715
2026-06-29 00:33:32,301372.11492180824,0.05924107142857143,0.6965803571428572,0.046473214285714284,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139830.0,153813.0,0.059046747965852665,1.0002186675706426,31702.386469993544,0.03780077749255269,0.00036419235081208945,52794.77203018449
2026-06-29 00:33:42,301382.11499118805,0.058812500000000004,0.7141339285714287,0.04592857142857143,30.0,3.9642986718172857,0.0,0.0,0.0,0.0,139830.0,153813.0,0.05897989464717214,1.0002186669054844,31702.454928171843,0.031115579616636416,0.00036419917120818484,52796.0353653653
2026-06-29 00:33:52,301392.1150586605,0.05827678571428572,0.7380625,0.04446428571428572,30.062,3.959648605076773,0.0,0.0,0.0,0.0,139830.0,153813.0,0.05827678571428572,1.0002186669054844,31702.44888145039,0.05222329678670936,0.00036420603551935916,52797.02037823273
2026-06-29 00:34:02,301402.11513757706,0.05877678571428572,0.7073303571428572,0.045821428571428575,30.0,3.959648605076773,0.0,0.0,0.0,0.0,139830.0,153813.0,0.05877678571428572,1.0002186669054844,31702.485161779117,0.05222329678670936,0.00036421289970116203,52798.07586444645
2026-06-29 00:34:12,301412.11520171165,0.05910714285714286,0.7227678571428572,0.04598214285714286,30.0,3.959648605076773,0.0,0.0,0.0,0.0,139830.0,153813.0,0.05910714285714286,1.0002186669054844,31702.43829968784,0.05222329678670936,0.0003642197637536007,52798.99286420303
2026-06-29 00:34:22,301422.11527347565,0.058687500000000004,0.7131607142857144,0.045330357142857144,30.0,3.959648605076773,0.0,0.0,0.0,0.0,139830.0,153813.0,0.058687500000000004,1.0002186669054844,31702.462486573662,0.05222329678670936,0.00036422662767668254,52800.028173388884
2026-06-29 00:34:32,301432.11534428596,0.05866071428571429,0.7248303571428572,0.045955357142857145,30.062,3.959648605076773,0.0,0.0,0.0,0.0,139860.0,153846.0,0.058681462629862326,1.0002186668516386,31702.467268960376,0.03780077748017556,0.00036423347694495856,52801.04204457721
2026-06-29 00:34:42,301442.11540818214,0.058437499999999996,0.7388392857142857,0.045821428571428575,30.062,3.959648605076773,0.0,0.0,0.0,0.0,139860.0,153846.0,0.0586114200063184,1.000218666163888,31702.54504946821,0.031115579521886455,0.0003642402969952032,52802.32635117385
2026-06-29 00:34:52,301452.1154782772,0.05900892857142857,0.7348839285714286,0.04458928571428571,30.0,3.959648605076773,0.0,0.0,0.0,0.0,139860.0,153846.0,0.05900892857142857,1.000218666163888,31702.56470137958,0.05222329678670936,0.00036424716053135383,52803.35406001014
2026-06-29 00:35:02,301462.1155490875,0.05890178571428572,0.7174107142857143,0.04529464285714286,30.062,3.959648605076773,0.0,0.0,0.0,0.0,139860.0,153846.0,0.05890178571428572,1.000218666163888,31702.566968907813,0.05222329678670936,0.0003642540239381768,52804.35279559777
2026-06-29 00:35:12,301472.11561870575,0.05873214285714286,0.7172321428571429,0.046017857142857145,30.0,3.959648605076773,0.0,0.0,0.0,0.0,139860.0,153846.0,0.05873214285714286,1.000218666163888,31702.563189694087,0.05222329678670936,0.0003642608872156793,52805.34144083122
2026-06-29 00:35:22,301482.11568689346,0.058375,0.7348660714285715,0.04509821428571429,30.0,3.959648605076773,0.0,0.0,0.0,0.0,139860.0,153846.0,0.058375,1.000218666163888,31702.55865463762,0.05222329678670936,0.00036426775036386885,52806.328808089114
2026-06-29 00:35:32,301492.1157941818,0.058687500000000004,0.7169732142857143,0.04577678571428572,30.0,3.959648605076773,0.0,0.0,0.0,0.0,139890.0,153879.0,0.05853052846824021,1.0002186665691801,31702.62385928594,0.03780077744826284,0.00036427459900670686,52807.33235081431
2026-06-29 00:35:42,301502.1158647537,0.05909821428571429,0.7362142857142857,0.044437500000000005,30.0,3.959648605076773,0.0,0.0,0.0,0.0,139890.0,153879.0,0.05872240388533461,1.000218668050393,31702.29273685144,0.031115579454579947,0.00036428141857383823,52807.41164232661
2026-06-29 00:35:52,301512.1159353256,0.05939285714285714,0.7364107142857144,0.045642857142857145,30.0,3.959648605076773,0.0,0.0,0.0,0.0,139890.0,153879.0,0.05939285714285714,1.000218668050393,31702.29273685144,0.05222329678670936,0.0003642882813352194,52808.406490394
2026-06-29 00:36:02,301522.11601281166,0.058625000000000003,0.7189553571428571,0.045848214285714284,30.062,3.959648605076773,0.0,0.0,0.0,0.0,139890.0,153879.0,0.058625000000000003,1.000218668050393,31702.31465610196,0.05222329678670936,0.00036429514396731663,52809.43783261535
2026-06-29 00:36:12,301532.11608600616,0.058857142857142865,0.7326428571428572,0.045625000000000006,30.0,3.959648605076773,0.0,0.0,0.0,0.0,139890.0,153879.0,0.058857142857142865,1.000218668050393,31702.301051049915,0.05222329678670936,0.0003643020064701373,52810.409980285454
2026-06-29 00:36:22,301542.116168499,0.05836607142857143,0.7261607142857143,0.04529464285714286,30.0,3.954998545431597,0.0,0.0,0.0,0.0,139890.0,153879.0,0.05836607142857143,1.000218668050393,31702.330528662682,0.05222329678670936,0.00036430886884368865,52811.4538777916
2026-06-29 00:36:32,301552.1162388325,0.05869642857142858,0.7298303571428572,0.045883928571428576,30.0,3.954998545431597,0.0,0.0,0.0,0.0,139920.0,153912.0,0.05853010428216793,1.0002186684798646,31702.229723552402,0.037800777485468944,0.0003643157167114623,52812.17490199987
2026-06-29 00:36:42,301562.11630773544,0.0583125,0.7711875,0.04448214285714286,30.0,3.954998545431597,0.0,0.0,0.0,0.0,139920.0,153912.0,0.05846854584287768,1.0002186678647245,31702.314361135275,0.031115579516515987,0.00036432253549433235,52813.45295645795
2026-06-29 00:36:52,301572.11637687683,0.05891964285714286,0.7450267857142857,0.04454464285714286,30.0,3.954998545431597,0.0,0.0,0.0,0.0,139920.0,153912.0,0.05891964285714286,1.0002186678647245,31702.315116972142,0.05222329678670936,0.00036432939748120663,52814.448952959436
2026-06-29 00:37:02,301582.11644792557,0.05845535714285715,0.736375,0.044696428571428574,30.0,3.954998545431597,0.0,0.0,0.0,0.0,139920.0,153912.0,0.05845535714285715,1.0002186678647245,31702.32116366707,0.05222329678670936,0.0003643362593388408,52815.45374524045
2026-06-29 00:37:12,301592.11649894714,0.05869642857142858,0.7074553571428571,0.0455,30.0,3.954998545431597,0.0,0.0,0.0,0.0,139920.0,153912.0,0.05869642857142858,1.0002186678647245,31702.257673370288,0.05222329678670936,0.00036434312106724216,52816.34266970212
2026-06-29 00:37:22,301602.11657595634,0.059062500000000004,0.7321071428571428,0.04565178571428572,30.0,3.954998545431597,0.0,0.0,0.0,0.0,139920.0,153912.0,0.059062500000000004,1.0002186678647245,31702.34005958874,0.05222329678670936,0.00036434998266641794,52817.47460805298
2026-06-29 00:37:32,301612.116656065,0.05882142857142857,0.7234553571428571,0.045776785714285714,30.0,3.954998545431597,0.0,0.0,0.0,0.0,139950.0,153945.0,0.058954441404312,1.000218667517091,31702.400279754067,0.0378007775215487,0.0003643568294097447,52818.65144684726
2026-06-29 00:37:42,301622.11672234535,0.05891071428571428,0.7378035714285714,0.044696428571428574,30.062,3.954998545431597,0.0,0.0,0.0,0.0,139950.0,153945.0,0.05894906052626216,1.000218667364555,31702.378553369068,0.031115579634151472,0.0003643636466324622,52819.64035017442
2026-06-29 00:37:52,301632.11679792404,0.058482142857142864,0.7293214285714286,0.04447321428571428,30.0,3.954998545431597,0.0,0.0,0.0,0.0,139950.0,153945.0,0.058482142857142864,1.000218667364555,31702.40803107428,0.05222329678670936,0.00036437050784511333,52820.684093560594
2026-06-29 00:38:02,301642.11687231064,0.058990384615384625,0.7143645833333334,0.04667307692307692,30.0,3.954998545431597,0.0,0.0,0.0,0.0,139950.0,153945.0,0.058990384615384625,1.000218667364555,31702.4042518813,0.05222329678670936,0.00036437736892856807,52821.67240834019
2026-06-29 00:38:12,301652.11694836617,0.05963541666666667,0.7044326923076922,0.04644791666666667,30.0,3.9503484689349957,0.0,0.0,0.0,0.0,139950.0,153945.0,0.05963541666666667,1.000218667364555,31702.40954275147,0.05222329678670936,0.00036438422988283373,52822.675816728704
2026-06-29 00:38:22,301662.1170294285,0.05852500000000001,0.7275,0.04363636363636364,30.0,3.9503484689349957,0.0,0.0,0.0,0.0,139950.0,153945.0,0.05852500000000001,1.000218667364555,31702.425415361966,0.05222329678670936,0.00036439109070791756,52823.696838390555
2026-06-29 00:38:32,301672.11709952354,0.058300000000000005,0.7196875,0.044579545454545455,30.0,3.9503484689349957,0.0,0.0,0.0,0.0,139980.0,153978.0,0.05842453465152933,1.0002186670419688,31702.437410281804,0.037800777481583885,0.0003643979369391217,52824.787221786835
