time,elapsed_time,temperature_C,OD_135_V,OD_Ref_V,OD_90_V,peltier_duty,peltier_forward,ring_light_R,ring_light_G,ring_light_B,ekf_od_est,ekf_growth_rate,ekf_doubling_time_s,ekf_od_std,ekf_growth_rate_std,ekf_doubling_time_std_s
2026-05-27 14:46:52,98651.49248170853,30.0,0.23982692307692308,1.5592211538461538,0.823625,5.056672735050651,0.0,0.0,0.0,0.0,0.2530879228778114,0.9999892408383282,inf,0.003687818814337233,4.688867195149809e-05,inf
2026-05-27 14:47:12,98671.49261641502,30.0,0.24551923076923077,0.7924615384615384,0.7240865384615385,5.061397900875542,0.0,0.0,0.0,0.0,0.2530509013504983,0.9999889326266826,inf,0.0036877884051223415,4.688866047639185e-05,inf
2026-05-27 14:47:32,98691.4927687645,30.0,0.25757142857142856,0.6425178571428571,0.7579285714285715,5.061397900875542,0.0,0.0,0.0,0.0,0.25306860580551205,0.9999891168892566,inf,0.003687755824584292,4.6888650334776654e-05,inf
2026-05-27 14:47:52,98711.49295544624,30.0,0.2407019230769231,0.9669326923076924,0.8408749999999999,5.061397900875542,0.0,0.0,0.0,0.0,0.2530098046519972,0.9999886132374248,inf,0.003687724694564208,4.688864145903535e-05,inf
2026-05-27 14:48:12,98731.49308300018,30.0,0.23904807692307692,1.304971153846154,0.6511634615384616,5.061397900875542,0.0,0.0,0.0,0.0,0.25294364797056196,0.9999880446232032,inf,0.0036876899637512854,4.6888634000712534e-05,inf
2026-05-27 14:48:32,98751.49321365356,30.0,0.23996153846153845,1.1176153846153847,0.728798076923077,5.061397900875542,0.0,0.0,0.0,0.0,0.2528817907294983,0.9999875159274478,inf,0.003687651172457557,4.688862813056656e-05,inf
2026-05-27 14:48:52,98771.49336218834,30.0,0.2601346153846154,0.8616153846153847,0.7152211538461538,5.061397900875542,0.0,0.0,0.0,0.0,0.2529115237873892,0.9999878114909644,inf,0.0036876086322965105,4.688862400506236e-05,inf
2026-05-27 14:49:12,98791.49350619316,30.0,0.27026923076923076,1.1248653846153847,0.7389134615384615,5.061397900875542,0.0,0.0,0.0,0.0,0.25298713277552376,0.999988518650619,inf,0.0036875684054112753,4.688862151728927e-05,inf
2026-05-27 14:49:32,98811.49367713928,30.0,0.26767307692307696,1.142375,0.7185096153846154,5.061397900875542,0.0,0.0,0.0,0.0,0.2530508073236996,0.9999891169658718,inf,0.0036875334999372585,4.688862043048721e-05,inf
2026-05-27 14:49:52,98831.49413251877,30.0,0.25184375,0.7666041666666668,0.7530520833333334,5.061397900875542,0.0,0.0,0.0,0.0,0.25304259478625085,0.9999890679119946,inf,0.003687503093654935,4.688862054459204e-05,inf
2026-05-27 14:50:12,98851.49426102638,30.062,0.251125,1.3060576923076925,0.6806249999999999,5.061397900875542,0.0,0.0,0.0,0.0,0.2530311495722495,0.9999889899177747,inf,0.0036874724189506418,4.688862186699939e-05,inf
2026-05-27 14:50:32,98871.49440002441,30.0,0.24234615384615385,1.443903846153846,0.6350384615384616,4.303447526818235,0.0,0.0,0.0,0.0,0.2529799475484498,0.9999885548181905,inf,0.00368744126505272,4.68886244141937e-05,inf
2026-05-27 14:50:52,98891.49451828003,30.0,0.26408653846153846,1.3288173076923078,0.6713846153846154,5.047447526818249,0.0,0.0,0.0,0.0,0.25302740393285006,0.9999890073155439,inf,0.0036874070156873214,4.688862831592143e-05,inf
2026-05-27 14:51:12,98911.49466991425,30.062,0.24361538461538462,0.9282211538461538,0.7119038461538462,5.047447526818249,0.0,0.0,0.0,0.0,0.2529819774854561,0.9999886240748328,inf,0.0036873761940308977,4.6888633418722634e-05,inf
2026-05-27 14:51:32,98931.49491620064,30.0,0.26177884615384617,0.8911730769230769,0.7094903846153847,5.047447526818249,0.0,0.0,0.0,0.0,0.2530189814873714,0.9999889824864008,inf,0.0036873426562160833,4.688863983599833e-05,inf
2026-05-27 14:51:52,98951.49538993835,30.0,0.25001923076923077,1.1372596153846155,0.7273557692307692,5.047447526818249,0.0,0.0,0.0,0.0,0.25300261134220026,0.9999888604221723,inf,0.0036873118533647924,4.688864744446793e-05,inf
2026-05-27 14:52:12,98971.49555134773,30.0,0.2423173076923077,1.406798076923077,0.7044711538461539,5.047447526818249,0.0,0.0,0.0,0.0,0.2529513798495923,0.9999884253369196,inf,0.0036872802499614394,4.688865627457005e-05,inf
2026-05-27 14:52:32,98991.4956767559,29.937,0.25543269230769233,1.107625,0.7099903846153846,5.812897760460096,0.0,0.0,0.0,0.0,0.25295971041720683,0.9999885265158709,inf,0.003687245554571124,4.688866645586332e-05,inf
2026-05-27 14:52:52,99011.49585103989,30.0,0.2283076923076923,0.9730096153846154,0.7173557692307693,5.05689776046011,0.0,0.0,0.0,0.0,0.2528451021551327,0.9999875226109028,inf,0.0036872117138450587,4.6888677946333216e-05,inf
