time,elapsed_time,OD_135_V,OD_Ref_V,OD_90_V,temperature_C,CO2_ppm,peltier_duty,peltier_forward,ring_light_R,ring_light_G,ring_light_B
2026-02-25 03:41:38,216462.29976677895,0.2725625,0.927451923076923,0.7006346153846154,30.0,4980,9.477851571349492,0.0,0.0,0.0,0.0
2026-02-25 03:41:58,216482.29980015755,0.2881458333333333,0.7782884615384617,0.8023125000000001,30.0,4990,8.724551418356276,0.0,0.0,0.0,0.0
2026-02-25 03:42:18,216502.29987072945,0.264125,0.7699038461538462,0.6693854166666666,30.0,4990,8.715251277558181,0.0,0.0,0.0,0.0
2026-02-25 03:42:38,216522.29994893074,0.26821875,0.7897624999999999,0.769875,30.0,4990,9.459251277558195,0.0,0.0,0.0,0.0
2026-02-25 03:42:58,216542.3000202179,0.2554375,0.8549875,0.8672361111111111,30.0,4990,9.459251277558195,0.0,0.0,0.0,0.0
2026-02-25 03:43:18,216562.3000972271,0.2795416666666667,0.74403125,0.6695375,30.0,4990,9.459251277558195,0.0,0.0,0.0,0.0
2026-02-25 03:43:38,216582.30019402504,0.307546875,0.7171875,0.7039583333333334,30.0,4990,9.459251277558195,0.0,0.0,0.0,0.0
2026-02-25 03:43:58,216602.30025744438,0.281203125,0.7339249999999999,0.7413750000000001,30.0,4990,8.710601211261128,0.0,0.0,0.0,0.0
2026-02-25 03:44:18,216622.30032920837,0.2610568181818182,0.786784090909091,0.7453055555555556,30.0,5000,8.696651016139365,0.0,0.0,0.0,0.0
2026-02-25 03:44:38,216642.3004105091,0.2797159090909091,0.8013636363636363,0.774475,30.0,5000,9.436000957824577,0.0,0.0,0.0,0.0
2026-02-25 03:44:58,216662.30121135712,0.2714519230769231,0.7551071428571429,0.6941071428571428,30.0,4980,9.436000957824577,0.0,0.0,0.0,0.0
2026-02-25 03:45:18,216682.30379462242,0.2508482142857143,0.7355982142857143,0.6942946428571428,30.0,4950,9.436000957824577,0.0,0.0,0.0,0.0
2026-02-25 03:45:38,216702.3038699627,0.28,0.7623269230769231,0.8077307692307693,30.0,4950,9.436000957824577,0.0,0.0,0.0,0.0
2026-02-25 03:45:58,216722.3039598465,0.246375,0.7762142857142857,0.679125,30.0,4950,9.436000957824577,0.0,0.0,0.0,0.0
2026-02-25 03:46:18,216742.30434703827,0.2566517857142857,0.7574464285714286,0.6926339285714286,30.0,4940,9.436000957824577,0.0,0.0,0.0,0.0
2026-02-25 03:46:38,216762.30442881584,0.25758653846153845,0.7848461538461537,0.6842115384615385,30.0,4950,9.436000957824577,0.0,0.0,0.0,0.0
2026-02-25 03:46:58,216782.30451464653,0.26123214285714286,0.8640267857142857,0.6940357142857143,30.0,4950,9.436000957824577,0.0,0.0,0.0,0.0
